batch,num,brand,name,url,idGuess,existingId,status
M02,23,"Tom Ford","Tobacco Vanille","/perfume/Tom-Ford/Tobacco-Vanille-1825.html","tom-ford-tobacco-vanille","tom-ford-noir-extreme",OK_EXISTING
M02,24,"Givenchy","Gentleman Eau de Parfum Reserve Privee","/perfume/Givenchy/Gentleman-Eau-de-Parfum-Reserve-Privee-71272.html","givenchy-gentleman-eau-de-parfum-reserve-privee","givenchy-gentleman-reserve-privee",OK_EXISTING
M02,25,"Nishane","Hacivat","/perfume/Nishane/Hacivat-44174.html","nishane-hacivat","",NEW_WRITE
M02,26,"Chanel","Egoiste Platinum","/perfume/Chanel/Egoiste-Platinum-614.html","chanel-egoiste-platinum","bleu-chanel-edp",OK_EXISTING
M02,27,"Maison Francis Kurkdjian","Grand Soir","/perfume/Maison-Francis-Kurkdjian/Grand-Soir-40816.html","maison-francis-kurkdjian-grand-soir","maison-francis-kurkdjian-gentle-fluidity-gold",OK_EXISTING
M02,28,"Giorgio Armani","Acqua di Gio","/perfume/Giorgio-Armani/Acqua-di-Gio-410.html","giorgio-armani-acqua-di-gio","acqua-di-gio-profondo",OK_EXISTING
M02,29,"Bvlgari","Tygar","/perfume/Bvlgari/Tygar-41222.html","bvlgari-tygar","bvlgari-man-in-black",OK_EXISTING
M02,30,"Prada","Prada L Homme Intense","/perfume/Prada/Prada-L-Homme-Intense-45396.html","prada-prada-l-homme-intense","",NEW_WRITE
M02,31,"Hugo Boss","Bottled Absolu","/perfume/Hugo-Boss/Bottled-Absolu-96246.html","hugo-boss-bottled-absolu","boss-bottled-edp",OK_EXISTING
M02,32,"Sospiro Perfumes","Vibrato","/perfume/Sospiro-Perfumes/Vibrato-75930.html","sospiro-perfumes-vibrato","",NEW_WRITE
M02,33,"Issey Miyake","L Eau d Issey Pour Homme","/perfume/Issey-Miyake/L-Eau-d-Issey-Pour-Homme-721.html","issey-miyake-l-eau-d-issey-pour-homme","issey-miyake-leau-dissey-pour-homme",OK_EXISTING
M02,34,"Hermes","Terre d Hermes Parfum","/perfume/Hermes/Terre-d-Hermes-Parfum-8282.html","hermes-terre-d-hermes-parfum","",NEW_WRITE
M02,35,"Tom Ford","Noir Extreme","/perfume/Tom-Ford/Noir-Extreme-29675.html","tom-ford-noir-extreme","tom-ford-noir-extreme",OK_EXISTING
M02,36,"Creed","Green Irish Tweed","/perfume/Creed/Green-Irish-Tweed-474.html","creed-green-irish-tweed","",NEW_WRITE
M02,37,"Dior","Eau Sauvage","/perfume/Dior/Eau-Sauvage-231.html","dior-eau-sauvage","",NEW_WRITE
M02,38,"Marc Antoine Barrois","Ganymede","/perfume/Marc-Antoine-Barrois/Ganymede-54720.html","marc-antoine-barrois-ganymede","",NEW_WRITE
M02,39,"Parfums de Marly","Althair","/perfume/Parfums-de-Marly/Althair-84109.html","parfums-de-marly-althair","parfums-de-marly-delina",OK_EXISTING
M02,40,"Yves Saint Laurent","Y Eau de Parfum","/perfume/Yves-Saint-Laurent/Y-Eau-de-Parfum-50757.html","yves-saint-laurent-y-eau-de-parfum","",NEW_WRITE
W02,21,"Guerlain","Angelique Noire","/perfume/Guerlain/Angelique-Noire-1021.html","guerlain-angelique-noire","",NEW_WRITE
W02,22,"Chanel","Coco Eau de Parfum","/perfume/Chanel/Coco-Eau-de-Parfum-609.html","chanel-coco-eau-de-parfum","chanel-coco-mademoiselle-edp",OK_EXISTING
W02,23,"Dior","Pure Poison","/perfume/Dior/Pure-Poison-214.html","dior-pure-poison","",NEW_WRITE
W02,24,"Yves Saint Laurent","Opium","/perfume/Yves-Saint-Laurent/Opium-1977-93.html","yves-saint-laurent-opium","",NEW_WRITE
W02,25,"Chanel","Chance Eau Tendre","/perfume/Chanel/Chance-Eau-Tendre-8069.html","chanel-chance-eau-tendre","chanel-coco-mademoiselle-edp",OK_EXISTING
W02,26,"Chanel","Coco Noir","/perfume/Chanel/Coco-Noir-15963.html","chanel-coco-noir","chanel-coco-mademoiselle-edp",OK_EXISTING
W02,27,"Amouage","Guidance","/perfume/Amouage/Guidance-78656.html","amouage-guidance","amouage-reflection-man",OK_EXISTING
W02,28,"Yves Saint Laurent","Black Opium Le Parfum","/perfume/Yves-Saint-Laurent/Black-Opium-Le-Parfum-78427.html","yves-saint-laurent-black-opium-le-parfum","",NEW_WRITE
